Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
1226.0,28.0,2012.0,8.0,21.0,8.25,4.24,0.07,1.12,13.67,83.0,73.0,45.0,2256.0,1499.0,5.0
1230.0,28.0,2009.0,8.0,21.0,8.52,3.59,0.08,1.28,13.47,94.0,100.0,60.0,2698.0,717.0,5.0
1231.0,17.0,2011.0,8.0,21.0,5.54,5.73,0.49,1.57,13.32,88.0,39.0,29.0,5234.0,718.0,5.0
3679.0,16.0,2001.0,0.0,496.0,6.99,4.51,0.3,1.3,13.1,97.0,56.0,82.0,664.0,357.0,5.0
9352.0,26.0,2008.0,2.0,361.0,6.62,2.55,2.66,1.01,12.84,93.0,81.0,86.0,1662.0,567.0,7.0
5531.0,2.0,2011.0,6.0,361.0,5.03,4.02,2.69,0.91,12.66,85.0,73.0,79.0,632.0,1199.0,1.0
1224.0,17.0,2010.0,8.0,21.0,5.99,4.37,0.48,1.79,12.63,88.0,58.0,61.0,1094.0,1499.0,5.0
3681.0,18.0,2014.0,0.0,496.0,3.96,6.31,0.38,1.97,12.61,97.0,66.0,80.0,2899.0,1208.0,5.0
350.0,4.0,2005.0,9.0,361.0,2.5,3.45,5.33,0.86,12.13,86.0,57.0,84.0,242.0,1008.0,1.0
3859.0,28.0,2007.0,8.0,325.0,7.97,2.81,0.13,1.21,12.12,94.0,86.0,75.0,4100.0,254.0,5.0
9261.0,10.0,1996.0,4.0,361.0,6.91,2.85,1.91,0.23,11.89,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
7282.0,4.0,2009.0,0.0,361.0,4.34,2.71,3.96,0.76,11.77,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
7287.0,2.0,2014.0,7.0,361.0,4.35,3.49,3.1,0.74,11.68,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
